Date,Sales
2023-08-05,3756
2023-08-06,1055
2023-08-07,1742
2023-08-08,1127
2023-08-09,4697
2023-08-10,4230
2023-08-11,2849
2023-08-12,4482
2023-08-13,4903
2023-08-14,1794
2023-08-15,2093
2023-08-16,1885
2023-08-17,2689
2023-08-18,4377
2023-08-19,3426
2023-08-20,1849
2023-08-21,1282
2023-08-22,4265
2023-08-23,4408
2023-08-24,3354
2023-08-25,3286
2023-08-26,2445
2023-08-27,1155
2023-08-28,1621
2023-08-29,3552
2023-08-30,1522
2023-08-31,3480
2023-09-01,2563
2023-09-02,4034
2023-09-03,1353
2023-09-04,4841
2023-09-05,4533
2023-09-06,3008
2023-09-07,4841
2023-09-08,2366
2023-09-09,3880
2023-09-10,2915
2023-09-11,3371
2023-09-12,4644
2023-09-13,4493
2023-09-14,3712
2023-09-15,4560
2023-09-16,3930
2023-09-17,3594
2023-09-18,1801
2023-09-19,1218
2023-09-20,4964
2023-09-21,1960
2023-09-22,2625
2023-09-23,4362
2023-09-24,4462
2023-09-25,1214
2023-09-26,3712
2023-09-27,1650
2023-09-28,3787
2023-09-29,1945
2023-09-30,4779
2023-10-01,2370
2023-10-02,4378
2023-10-03,1564
2023-10-04,3947
2023-10-05,4907
2023-10-06,2955
2023-10-07,1966
2023-10-08,4069
2023-10-09,4969
2023-10-10,3914
2023-10-11,1360
2023-10-12,2779
2023-10-13,4555
2023-10-14,3465
2023-10-15,3491
2023-10-16,3317
2023-10-17,3860
2023-10-18,1355
2023-10-19,4703
2023-10-20,2246
2023-10-21,1313
2023-10-22,4174
2023-10-23,2265
2023-10-24,3481
2023-10-25,2465
2023-10-26,1034
2023-10-27,4518
2023-10-28,4762
2023-10-29,1754
2023-10-30,3054
2023-10-31,4047
2023-11-01,2420
2023-11-02,2688
2023-11-03,1575
2023-11-04,4535
2023-11-05,3222
2023-11-06,3350
2023-11-07,3272
2023-11-08,3398
2023-11-09,4488
2023-11-10,3957
2023-11-11,1987
2023-11-12,4779
2023-11-13,3204
2023-11-14,2939
2023-11-15,4199
2023-11-16,3096
2023-11-17,4042
2023-11-18,2158
2023-11-19,2624
2023-11-20,1902
2023-11-21,3690
2023-11-22,3540
2023-11-23,4578
2023-11-24,4993
2023-11-25,4637
2023-11-26,1839
2023-11-27,2951
2023-11-28,1552
2023-11-29,4367
2023-11-30,3186
2023-12-01,1836
2023-12-02,3697
2023-12-03,1284
2023-12-04,1137
2023-12-05,3525
2023-12-06,1569
2023-12-07,3540
2023-12-08,3301
2023-12-09,1542
2023-12-10,2932
2023-12-11,3507
2023-12-12,3028
2023-12-13,4294
2023-12-14,2688
2023-12-15,2367
2023-12-16,2824
2023-12-17,2328
2023-12-18,1376
2023-12-19,1240
2023-12-20,4217
2023-12-21,1843
2023-12-22,4819
2023-12-23,1791
2023-12-24,2929
2023-12-25,3859
2023-12-26,4410
2023-12-27,3996
2023-12-28,2600
2023-12-29,3567
2023-12-30,4932
2023-12-31,1273
